time,open,high,low,close,MA,Smoothing Line,MA,Smoothing Line,Volume,Volume MA
1576593000,3195.4,3198.22,3191.03,3192.52,NaN,NaN,NaN,NaN,1971590970,1835372399.75
1576679400,3195.21,3198.48,3191.14,3191.14,NaN,NaN,NaN,NaN,2109637090,1844645635.25
1576765800,3192.32,3205.48,3192.32,3205.37,NaN,NaN,NaN,NaN,1923928140,1822221179.25
1576852200,3223.33,3225.65,3216.03,3221.22,NaN,NaN,NaN,NaN,3697537000,1913991109.75
1577111400,3226.05,3227.78,3222.3,3224.01,NaN,NaN,NaN,NaN,1580052420,1911657070.25
1577197800,3225.45,3226.43,3220.51,3223.38,NaN,NaN,NaN,NaN,604560645,1846649900
1577370600,3227.2,3240.08,3227.2,3239.91,NaN,NaN,NaN,NaN,1047945050,1774380322.5
1577457000,3247.23,3247.93,3234.37,3240.02,NaN,NaN,NaN,NaN,1110175740,1755236851
1577716200,3240.09,3240.92,3216.57,3221.29,NaN,NaN,NaN,NaN,1198740750,1773341777.25
1577802600,3215.18,3231.72,3212.03,3230.78,NaN,NaN,NaN,NaN,1285724430,1748295888.25
1577975400,3244.67,3258.14,3235.53,3257.85,NaN,NaN,NaN,NaN,1827686030,1740105940.75
1578061800,3226.36,3246.15,3222.34,3234.85,NaN,NaN,NaN,NaN,1733947880,1737250865.25
1578321000,3217.55,3246.84,3214.64,3246.28,NaN,NaN,NaN,NaN,1872802970,1748604917.25
1578407400,3241.86,3244.91,3232.43,3237.18,NaN,NaN,NaN,NaN,1892856390,1758297021.75
1578493800,3238.59,3267.07,3236.67,3253.05,NaN,NaN,NaN,NaN,1956336830,1776303049.75
1578580200,3266.03,3275.58,3263.67,3274.7,NaN,NaN,NaN,NaN,1839202230,1785121399.75
1578666600,3281.81,3282.99,3260.86,3265.35,NaN,NaN,NaN,NaN,1631680400,1781153774.75
1578925800,3271.13,3288.13,3268.43,3288.13,NaN,NaN,NaN,NaN,1765159090,1758546474.75
1579012200,3285.35,3294.25,3277.19,3283.15,NaN,NaN,NaN,NaN,1969901450,1759200547.75
1579098600,3282.27,3298.66,3280.69,3289.29,NaN,NaN,NaN,NaN,1807140800,1741330315.25
1579185000,3302.97,3317.11,3302.82,3316.81,NaN,NaN,NaN,NaN,1795632380,1732532385.75
1579271400,3323.66,3329.88,3318.86,3329.62,NaN,NaN,NaN,NaN,2148780810,1734489571.75
1579617000,3321.03,3329.79,3316.61,3320.79,NaN,NaN,NaN,NaN,2190847520,1747835540.75
1579703400,3330.02,3337.77,3320.04,3321.75,NaN,NaN,NaN,NaN,1852031180,1655560249.75
1579789800,3315.77,3326.88,3301.87,3325.54,NaN,NaN,NaN,NaN,2034159850,1678265621.25
1579876200,3333.1,3333.18,3281.53,3295.47,NaN,NaN,NaN,NaN,2106787710,1753376974.5
1580135400,3247.16,3258.85,3234.5,3243.63,NaN,NaN,NaN,NaN,2136117900,1807785617
1580221800,3255.35,3285.78,3253.22,3276.24,NaN,NaN,NaN,NaN,2023968800,1853475270
1580308200,3289.46,3293.47,3271.89,3273.4,NaN,NaN,NaN,NaN,2124923930,1899784429
1580394600,3256.45,3285.91,3242.8,3283.66,NaN,NaN,NaN,NaN,2253789000,1948187657.5
1580481000,3282.33,3282.33,3214.68,3225.52,NaN,NaN,NaN,NaN,2678835840,1990745148
1580740200,3235.66,3268.44,3235.66,3248.92,NaN,NaN,NaN,NaN,2113052900,2009700399
1580826600,3280.61,3306.92,3280.61,3297.59,NaN,NaN,NaN,NaN,2140871720,2023103836.5
1580913000,3324.91,3337.58,3313.75,3334.69,NaN,NaN,NaN,NaN,2252878600,2041104947
1580999400,3344.92,3347.96,3334.39,3345.78,NaN,NaN,NaN,NaN,1953737180,2040974964.5
1581085800,3335.54,3341.42,3322.12,3327.71,NaN,NaN,NaN,NaN,1851359690,2041582837.5
1581345000,3318.28,3352.26,3317.77,3352.09,NaN,NaN,NaN,NaN,1735188710,2046758253
1581431400,3365.87,3375.63,3352.72,3357.75,NaN,NaN,NaN,NaN,1879876060,2052494101.5
1581517800,3370.5,3381.47,3369.72,3379.45,NaN,NaN,NaN,NaN,2006519340,2054324996
1581604200,3365.9,3385.09,3360.52,3373.94,NaN,NaN,NaN,NaN,1909388710,2059437391.5
